id,food_name,aliases,category,energy_kcal,protein_g,fat_g,carb_g
A0100101,大麥仁,"小薏仁,洋薏仁,珍珠薏仁",穀物類,365,8.6,1.6,77.1
A0110101,大麥片,,穀物類,365,8.6,1.8,76.7
A0120101,大麥仁粉,"小薏仁粉,洋薏仁粉,珍珠薏仁粉",穀物類,389,7.1,1.3,85
A0200101,小米,,穀物類,370,11.3,3.7,71.7
A0200201,糯小米,,穀物類,360,12.5,1.5,72.5
A0300101,小麥,,穀物類,362,14.1,2.6,69.2
A0310101,小麥胚芽,,穀物類,417,31.4,11.6,47.9
A0320101,去筋麵粉,澄粉,穀物類,355,0.2,0.1,85.7
A0320202,低筋麵粉,,穀物類,364,8.1,1.2,78.2
A0320301,中筋麵粉,,穀物類,361,11.5,1.3,74.1
A0320404,高筋麵粉,,穀物類,362,12.9,1.2,73.1
A0320405,高筋麵粉(2021年取樣),強力粉,穀物類,362,13.8,1.3,72.2
A0320505,全麥麵粉,,穀物類,359,13,1.7,71.4
A0320601,雜糧中筋麵粉,,穀物類,361,13.1,2.3,72
A0320702,雜糧高筋麵粉,,穀物類,360,14.3,2.8,69.6
A0400101,白玉米,,穀物類,66,3.4,0.6,11.5
A0400201,紫玉米,,穀物類,168,4.5,1,34.4
A0400301,甜玉米,"玉米,黃玉米",穀物類,107,3.3,2.5,17.8
A0400401,雙色水果玉米,"玉米,黃玉米",穀物類,105,3.1,2.6,17.5
A0400501,糯玉米,,穀物類,172,4.7,1.9,33.4
A0400601,冷凍玉米粒,,穀物類,174,3.1,8.2,22.5
A0410101,乾玉米粒,,穀物類,373,10.9,3.9,72.2
A0410201,玉米胚芽,"玉米仁,珍珠米",穀物類,366,7,0.9,80.3
A0420101,玉米粉,,穀物類,369,0.3,0.4,88.3
A05001,秈米平均值,"在來米,長米",穀物類,357,7.8,0.9,77.4
A0500101,秈米(台中在來2號),"在來米,長米",穀物類,355,8.2,1,76.3
A0500102,秈米(台中秈10號),"在來米,長米",穀物類,358,7.4,0.7,78.5
A0500103,秈米(台中秈10號)(2024年取樣),"在來米,長米",穀物類,357,6.1,0.6,79.8
A05002,稉米平均值,"蓬萊米,圓米",穀物類,354,7,0.7,77.8
A0500201,稉米(台中189號),"蓬萊米,圓米",穀物類,356,7.5,0.6,78.1
A0500202,稉米(台南11號),"蓬萊米,圓米",穀物類,348,6.7,0.5,77.2
A0500203,稉米(台稉2號),"蓬萊米,圓米",穀物類,357,7.2,0.5,78.7
A0500204,稉米(台稉8號),"蓬萊米,圓米",穀物類,355,6.9,0.4,78.8
A0500205,稉米(台稉9號),"蓬萊米,圓米",穀物類,353,6.6,0.6,78.2
A0500206,稉米(台農71號),"蓬萊米,圓米,益全香米",穀物類,357,7.9,0.6,77.8
A0500207,稉米(高雄139號),"蓬萊米,圓米",穀物類,357,6.1,1.2,78.5
A0500208,稉米(高雄142號),"蓬萊米,圓米",穀物類,353,7,0.6,77.7
A0500209,稉米(高雄145號),,穀物類,364,6.8,1,80
A0500210,稉米(高雄139號)(2021年取樣),"蓬萊米,圓米",穀物類,352,5.7,0.5,79.2
A0500301,越光米,"蓬萊米,圓米",穀物類,340,7.6,1,73.3
A0500302,越光米(台南16號)(2024年取樣),"蓬萊米,圓米",穀物類,356,6.9,0.3,79.1
A0500401,秈型糯米(台中糯70號),長糯米,穀物類,361,7.9,0.9,78.4
A05005,稉型糯米平均值,圓糯米,穀物類,358,8.3,0.8,77.4
A0500501,稉型糯米,圓糯米,穀物類,359,8.4,0.5,78
A0500502,稉型糯米(台稉糯1號),圓糯米,穀物類,358,8.2,1.1,76.8
A0500601,野生紅米,,穀物類,360,7.7,2.6,74.7
A0500701,紅糯糙米,,穀物類,362,9.9,2.8,72.6
A0500801,黑秈糯糙米,"黑糯米,紫糯米,紫米,貢米,長生米",穀物類,357,10.1,3.5,70.1
A0500901,胚芽秈米(台中秈10號),,穀物類,363,8.3,2.1,76.1
A05010,胚芽稉米平均值,,穀物類,362,8.2,1.6,76.8
A0501001,胚芽稉米(台稉10號）,,穀物類,360,7.3,1.7,77.2
A0501002,胚芽稉米(台稉9號),,穀物類,363,9.1,1.5,76.5
A05011,發芽稉米平均值,發芽糙米,穀物類,355,7.8,2.3,74
A0501103,發芽稉米(台稉71號),"發芽糙米,益全香米發芽米",穀物類,357,7.4,2.8,73.9
A0501104,發芽稉米(台稉9號）,發芽糙米,穀物類,353,8.2,1.9,74.1
A0501201,糙秈米,糙米,穀物類,359,7.3,3.2,73.6
A05013,糙稉米平均值,糙米,穀物類,364,7.4,2.3,76.6
A0501301,糙稉米(台稉71號),益全香米糙米,穀物類,360,9,2.6,73.6
A0501302,糙稉米(台稉9號),糙米,穀物類,364,7.4,2.3,76.6
A0501401,黑秈糙米,黑米,穀物類,363,7.5,3.5,74
A0510101,加鈣米,,穀物類,355,7.4,0.7,77.7
A0510201,高纖米,高纖蓬萊米,穀物類,363,8.3,2.5,75.2
A0510301,五穀米,,穀物類,358,8.7,2.9,72.9
A0510401,米胚芽,,穀物類,391,17,12.7,52.9
A0520201,秈米粉,在來米粉,穀物類,363,4.2,0.4,83.4
A0520301,糙米粉,,穀物類,393,11.3,3.2,78.1
A0520401,白糯米粉,,穀物類,360,4.5,0.4,82.3
A0550601,白飯,,穀物類,183,3.1,0.3,41
A0600101,高梁,,穀物類,372,11,3,73.6
A0600201,糯高梁,,穀物類,362,10.7,1,75.7
A0710101,黑麥片,,穀物類,359,7.8,1.2,77.3
A0800101,燕麥,,穀物類,406,10.9,10.2,67.4
A0810101,燕麥片,,穀物類,393,12.3,9.7,64.1
A0810201,即食燕麥片,,穀物類,406,11.9,9.6,67.9
A0900101,蕎麥(甜蕎),三角米,穀物類,361,11,2.9,71.3
A1000101,薏仁,"薏仁,薏苡仁",穀物類,378,14.1,6.1,66.2
A1000201,糙薏仁,紅薏仁,穀物類,387,13.7,7.4,65.9
A1020101,薏仁粉,,穀物類,395,10.9,3.5,80
A1100101,紅藜麥,,穀物類,379,12.1,6.7,66.8
A1100201,台灣藜(紅)(帶殼),"藜,赤藜,紫藜,紅心藜,紅藜,食用藜",穀物類,386,14.9,8.5,62.3
B0100101,淮山,"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,363,5.3,0.3,82.4
B01002,山藥平均值,"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,85,2.8,0.1,17.8
B0100201,山藥(二刺),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,89,2.7,0.1,18.9
B0100202,山藥(大汕1號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",澱粉類,80,2.4,0.1,17
